;source
558;Use water from undamaged hot water tanks and water pipes. Turn off the main water valve before draining water from these sources.
559;Bottled juices and the liquid from canned fruits and vegetables are another source of water.
560;If your water supply is limited, you can use alcohol-based hand sanitizers to clean your hands.
561;Clean and sanitize water-storage containers
562;Clean surfaces thoroughly with soap and water, then rinse.
563;For containers, add approximately 1 tablespoon of unscented liquid chlorine bleach per gallon of water to make a bleach solution.
564;Close the container and shake the bleach solution thoroughly, allowing it to contact all inside surfaces.
565;Keeping the container closed, let the bleach solution stand for 30 minutes, and then rinse with clean drinking water.
566;Allow the container to air dry.
567;Give Blood
568;Why donate?
569;Only complete this section if the naitonal society collects blood donations.
570;Find a Blood Drive
571;If they become confused, drowsy, vomit or if the fall was greater than 2 times their height, call ### or get someone else to do it.
572;"If a person suffers a blow to the head, the brain can be shaken inside the skull. This is called concussion. It tends to result in a short loss of consciousness or confusion (a few seconds to a few minutes). Most people make a full recovery from a concussion, but occasionally it may become more serious. A person does not need to ""black out"" or lose consciousness to have a concussion. If you think someone has concussion, call ###."
573;Yes. With all head injuries you should watch the person to see if their situation changes. If you see a change in behavior, vomiting, loss of consciousness, persistent headache or change in vision, call ### immediately. Sometimes you may not see the symptoms immediately.
574;If you see a change in behavior, vomiting, loss of consciousness, persistent headache or change in vision, call ### for an ambulance immediately.  You should also call an ambulance if you are unsure how bad the injury is or if the fall was greater than 2 times their height.
575;If they become confused, drowsy, vomit or if the fall was greater than 2 times their height, call ### or get someone else to do it.
576;Call ###
577;Ask them to rest and apply a cold compress to the injury (e.g. frozen vegetables wrapped in a towel).
578;Learn more
579;You're getting out o the car with your friend, when a big gust of wind comes and forces the door to close and hit your friend on the head. What should you do to ensure your friend's safety?
580;Choose the correct answer
581;Ask the person to rest and apply a cold compress to the injury, such as frozen vegetables, wrapped in a towel or clothing.
582;Have her touch her toes.
583;Have her lay down and count to ten.
584;Have her walk around the car a few times.
585;Sit her down and apply a cold compress to the injury.
586;After applying a cold compress, how long should you leave it off?
587;Drag to select
588;Use a cold compress for no more than 20 minutes, then off for ten minutes, until the swelling goes down or the person says it feels uncomfortable.
589;minutes
590;Which of the following are signs someone has a serious head injury?
591;Choose the 2 best answers
592;If you see a change in behaviour, vomiting, loss of consciousness or persistent headache, call ### for an ambulance immediately. You should also call an ambulance if you are unsure how bad the injury is or if the fall is greater than 2 times a person's height.
593;Vomiting
594;Ankle Pain
595;Persistent headache
596;Increased awareness
597;True or False: if you have a headache after a head injury, it is recommended to take painkillers for your headache.
598;Choose the correct answer
599;Painkillers are not advised because they can mask the signs and symptoms of a serious head injury.
600;Which is the best item to use as a cold compress to reduce swelling on a head injury?
601;Choose the correct answer
602;Frozen vegetables wrapped in a towel make an ideal cold compress.
603;Eggs
604;Frozen vegetables
605;Humidifier
606;Newspaper
607;So close! Answer the questions again to try and get your Head Injury achievement.
608;Call ### as soon as possible, or get someone else to do it.
609;The symptoms of a heart attack can vary but may include: - persistent, vice-like chest pain, which may spread to their arms, neck, - jaw, back or stomach. In some cases, the pain may be in only one of these locations. - sweating.
610;Call ### immediately or get someone else to do it.
611;Call ###
612;Make sure they are in a position that is comfortable for them (e.g. sit them on the floor, leaning against a wall or chair) and give them aspirin (if available and if they're not allergic).
613;Learn more
614;What to do if they go unconscious
615;You're at a family get together and your uncle starts complaining of severe crushing pains in his chest. Whose advice should you listen to?
616;Choose 1...
617;Always call an ambulance if you think someone is having a heart attack.
618;"Uncle Larry ""Oh, he'll be alright. Let him rest for half an hour. It's probably just last night's dinner."""
619;"Cousin Tim ""Sit him down and call an ambulance right away."""
620;"Nan ""Just help him upstairs to lie down."""
621;Why is it important for your uncle to sit down while waiting for the ambulance?
622;Choose 1...
623;Sitting them down will ease the strain on their heart.
624;To ease the strain on his heart.
625;It will allow an easier transfer to the ambulance stretcher.
626;He is less likely to wander away.
627;Which of the following could indicate that someone is having a heart attack?
628;Choose 4...
629;Heart attack symptoms can include: crushing chest pain (which may spread to the arms), sweating, breathlessness and/or discomfort in the upper abdomen.
630;Chest pain
631;Sweating
632;Sore toes
633;Itchy eyes
634;Pain in arms
635;Loss of vision
636;Prickly skin
637;Breathlessness
638;Good job. You've earned the heart attack achievement.
639;Sorry, you got some wrong. Try again!
640;I just earned the Heart Attack badge with the First Aid app!
641;The person may have moist, pale or flushed skin" and exhaustion."""
642;Move the person to a cooler place. Remove or loosen tight clothing and apply cool, wet cloths or towels to the skin. Fan the person. If the person is conscious, give small amounts of cool water to drink. Make sure they drink slowly.
643;If the person refuses water, vomits or begins to lose consciousness, call ### or have somebody else do it.
644;Call ### as soon as possible, or get someone else to do it.
645;Heat cramps are muscular pains and spasms that usually occur in the legs or abdomen caused by exposure to high heat and humidity and loss of fluids and electrolytes. Heat cramps are often an early sign that the body is having trouble with the heat.
646;If someone is experiencing heat cramps in the legs or abdomen, get them to a cooler place, have them rest, lightly stretch the affected muscle, and replenish their fluids with a half a glass (about 4 ounces) of cool water every 15 minutes.
647;Call ### as soon as possible, or get someone else to do it.
648;Call ###
649;Learn more
650;Heatwave
651;A heatwave might sound like fun, but heatwaves can kill people by pushing the body beyond its limits. Learn what to do if a heatwave strikes, and how you can be prepared for future heatwaves.
652;Before checklist
653;Make sure you have plenty of bottled water. It will be useful in case of drought or local problems with supply.
654;Stock up on sunscreens with a minimum of 30 SPF.
655;Minimize the need for hard work outdoors.
656;During
657;Stay continuously hydrated, even if you don't feel thirsty.
658;Avoid alcohol. Alcohol causes dehydration.
659;Limit your intake.
660;Eat well-balanced, light and regular meals.
661;Use a sunscreen SPF 30 or higher.
662;Hurricane
663;Preparation is the best protection against the dangers of a hurricane. Know the Difference: A Hurricane Watch is when hurricane conditions are a threat within 48 hours. A Warning is issued when Hurricane conditions are expected within 36 hours.
664;Before checklist
665;Buy a battery or hand-crank radio
666;If possible, buy a generator with the appropriate power rating for your needs.
667;Prepare an emergency preparedness kit
668;If you don't have hurricane shutters, board up all windows and doors with plywood. Keep them closed as much as possible.
669;Create a household evacuation plan and practice it.
670;Fill your vehicle's gas tank
671;During
672;Keep your emergency preparedness kit within reach
673;Listen to the latest information with a battery-powered or handÂ­crank radio (Weather Radio, if possible)
674;Use flashlights in the dark. Do NOT use candles.
675;After
676;Continue listening to a Weather Radio or local news for the latest information and updates.
677;Stay alert for extended rainfall and subsequent flooding
678;If evacuated, return home only when officials say it is safe.
679;Avoid drinking or preparing food with tap water until you are sure it's not contaminated.
680;Check refrigerated food for spoilage. If in doubt, throw it out.
681;The person may be shivering, pale and cold to touch. They may also be disoriented.
682;As soon as possible, call ### or get someone else to do it.
683;Call ###
684;Warm the person slowly and, if they're conscious, give them warm drinks or soup by mouth.
685;Learn more
686;Call ### as soon as possible, or get someone else to do it.
687;Jellyfish
688;A person with a jellyfish sting should get out of the water as soon as possible.
689;Irrigate the stinging area with large amounts of vinegar for at least 30 seconds.
690;If vinegar is not available, try using a baking soda slurry. Do not touch the affected area with bare hands.
691;When the stinging stops, care for pain with hot water immersion.
692;If possible, have the person take a hot shower for 20 minutes.
693;Call ### if the person starts to have trouble breathing, has a history of severe reactions to marine-life stings or is stung on the face or neck.
694;What if vinegar is not available?
695;For jellyfish stings, use a baking soda slurry if vinegar is not available. Do not use fresh water because this may increase pain.
696;What if a person does not know what stung him or her?
697;Call ### or the local emergency number if a person does not know what stung him or her. The stings of some forms of marine-life can make a person sick and be life-threatening.
698;What if a person is stung by a stingray, sea urchin or spiny fish?
699;Flush the wound with tap water. Ocean water may also be used. Keep the injured part still and soak it in hot water for 20 minutes or until the pain goes away. Clean the wound and apply a bandage. The person should talk to his or her health care provider about what happened.
700;Insect stings & bites
701;A person who has been bitten or stung will feel pain. Check for a bite mark or stinger and any swelling and/or bleeding.
702;Remove the stinger by scraping it away with a flat surface, such as a credit card.
703;Otherwise, carefully remove it with tweezers, being sure to grab the base of the stinger to avoid squeezing the venom sac.
704;Wash wound with soap and water, cover with a dressing, then apply ice or a cold pack.
705;Call ### or the local emergency number if the person seems to be having an allergic or anaphylaxic reaction.
706;Signs include a rash, itchiness, swelling on their hands, feet or face or a slowing down of their breathing.
707;Unconscious breathing
708;Unconscious not breathing
709;What insect repellent should be used when going in a grassy or wooded area that may be infested with insects or ticks?
710;Wear insect repellent containing diethyltoluamide (DEET)
711;Can children use DEET?
712;For children, use only products that contain less than 10 percent DEET.
713;What can be done at home to reduce the risk of insect infestations?
714;Make sure there is no standing water in your yard, such as in buckets and stagnant ponds or birdbaths.
715;Landslide
716;Landslides have occurred in many places and can cause significant damage. Landslide describes downhill earth movements that can move slowly and cause damage gradually, or move rapidly, destroying property and taking lives suddenly and unexpectedly. Most are caused by natural forces or heavy rain and snowmelt, earthquake shaking, volcanic eruptions and gravity.
717;Before checklist
718;Landslides generally happen in areas where they have occurred in the past. Learn about your area's landslide risk.
719;Talk to everyone in your household about what to do if a landslide occurs.
720;Create and practice an evacuation plan for your family and your business.
721;Assemble and maintain an emergency preparedness kit.
722;During
723;If you suspect imminent danger, evacuate immediately.
724;Listen for unusual sounds that might indicate moving debris, such as trees cracking or boulders knocking together.
725;If you are ordered or decide to evacuate, take your animals with you.
726;After
727;Stay away from the slide area. There may be danger of additional slides.
728;Listen to local radio or television stations for the latest emergency information.
729;Watch for flooding
730;They may both be started by the same event.
731;Check the building foundation, chimney, and surrounding land for damage.
732;Damage to foundations, chimneys, or surrounding land may help you assess the safety of the area.
733;Meningitis
734;The person will complain of a stiff neck. They also may have flu-like symptoms, muscle and joint pain, a headache, a high temperature, and be sensitive to light.
735;When you observe these symptoms, call ###.
736;Call ###
737;Learn more
738;Meningitis
739;The person will complain of a stiff neck. They also may have flu-like symptoms, muscle and joint pain, a headache, a high temperature, and be sensitive to light.
740;Other symptoms include cold hands and feet, joint pain, drowsiness and vomiting. A person with meningitis can have one or more symptoms, and some symptoms occur later on as the infection develops.
741;When you observe these symptoms, call ###.
742;A person with meningitis can deteriorate very quickly. It is potentially very serious and needs immediate attention.
743;If they have a fever, you can use cold drinks to cool the person.
744;What is meningitis?
745;Meningitis is a disorder in which the linings that surround the brain and spinal cord swell up. It can be caused by different types of bacteria or viruses, and can happen to anyone at any age.
746;Will the symptoms be different for a baby?
747;Infants may have any of the same symptoms as those described previously. In addition, they may also have a high-pitched cry, or may be more floppy or more drowsy. The soft part on the top of their head may become hard or bulging. Beware of a child you cannot wake up.
748;Should I wait for all the symptoms to appear before phoning ###?
749;No, you should call ### as soon as you suspect it may be meningitis. Do not wait for all the symptoms to appear. Immediate treatment is the best way to limit the damage caused by meningitis.
750;Mobile User Group
751;Buy a First Aid Kit
752;Water Safety
753;Learn first aid for...
754;Meningitis
755;Poisoning / harmful substances
756;Psychological First Aid
757;Seizure / epilepsy
758;Shock
759;Stings / bites
760;Strain and sprains
761;Stroke
762;Unconscious breathing
763;Unconscious not breathing
764;Donate
765;Get a Kit
766;HEADER
767;Emergencies Abroad
768;About
769;Donate
770;Take a course
771;Give Blood
772;Buy a kit
773;Story share
774;Volunteer for us
775;Survey
776;Share this app
777;Get the First Aid app from the Red Cross! <insert sniffer link here>
778;Rate this app
779;Pet preparedness
780;Our pets enrich our lives and depend on us for their safety and well-being. If you are a pet owner, the best way to ensure their safety is by including them in your family's disaster plan. Being prepared can help save lives.
781;How can I prepare
782;Take a Red Cross pet first aid course or purchase pet first aid guide books.
783;Plan to take your pets with you in an evacuation.
784;If it is not safe for you to stay, it is not safe for them either.
785;Know which hotels and motels along your evacuation route will accept you and your pets in an emergency.
786;Call ahead for reservations if you know you may need to evacuate. Ask if no-pet policies could be waived in an emergency.
787;Most Red Cross shelters cannot accept pets because of health and safety concerns and other considerations.
788;Service animals that assist people with disabilities ARE allowed in Red Cross shelters.
789;Know which friends, relatives, boarding facilities, animal shelters or veterinarians can care for your animals in an emergency.
790;Prepare a list with phone numbers and add to your cell phone.
791;Include your pets in evacuation drills so that they become used to entering and traveling in their carriers calmly.
792;Make sure that your pet's vaccinations are current and that all collars contain securely fastened, updated identification.
793;Many pet shelters require proof of current vaccinations to reduce the spread of disease.
794;"Consider having your pet ""microchipped"" by your veterinarian."
795;What should I do
796;Assemble a portable kit with emergency supplies for your pets.
797;Keep items in an accessible place and store them in sturdy containers so that they can be carried easily. Your kit should include:
798;Sturdy leashes, harnesses and/or carriers to transport pets safely and ensure that they can't escape.
799;Food, drinking water, bowls, cat litter/pan and a manual can opener.
800;Medications and copies of medical records stored in a waterproof container.
801;A first aid kit.
802;Current photos of you with your pet(s) in case they get lost.  Since many pets look alike, this will help to eliminate mistaken identity and confusion.
803;Information on feeding schedules, medical conditions, behavior problems, and the name and number of your veterinarian. This is in case you have to foster or board your pets.
804;Pet beds and toys, if easily transportable.
805;As the disaster approaches
806;At the first hint of disaster, act to protect your pet.
807;Often, warnings are issued hours, even days, in advance.
808;Call ahead to confirm emergency shelter arrangements for you and your pets.
809;Ensure that all pets are wearing collars with securely fastened, up-to-date identification.
810;Check that your pet disaster supplies are ready to take at a moment's notice.
811;Bring pets inside so you won't have to search for them if you need to leave quickly.
812;After
813;The behavior of pets may change dramatically after a disaster, becoming aggressive or defensive.
814;Be aware of their well-being and protect them from hazards to ensure the safety of other people and animals.
815;Watch your animals closely and keep them under your direct control as fences and gates may have been damaged.
816;Pets may become disoriented, particularly if the disaster has affected scent markers that normally allow them to find their home.
817;Be aware of hazards at nose and paw or hoof level.
818;Particularly debris, spilled chemicals, fertilizers and other substances that might not seem to be dangerous to humans.
819;Consult your veterinarian if any behavior problems persist.
820;Poisoning / harmful substances
821;Establish what they have taken. When? And how much?
822;As soon as possible, call poison control or get someone else to do it. Call ### if there is a change in behavior, they become unconscious or have difficulty breathing.
823;Call ###
824;Do not make the person sick or give them anything to drink unless advised to do so by poison control.
825;Learn more
826;Poisoning / harmful substances
827;Establish what they have taken, when, and how much.
828;The emergency services will want to know this information.
829;Call poison control. Call ### if they become unconscious, have a change in behavior, have difficulty breathing, or if you think they are suicidal.
830;The substance could be extremely harmful and the person may need urgent medical attention.
831;Do not make the person sick or give them anything to drink unless instructed to do so by poison control.
832;By making them sick, you can cause further damage to their throat or block their airway.
833;What are poisons and harmful substances?
834;Drugs (prescription or non-prescription drugs), chemicals (including household cleaning products) and some plants can be harmful if you swallow them.
835;How can I tell if someone has taken poison or another harmful substance?
836;They may vomit and have abdominal pain. There may also be empty containers nearby.
837;Why shouldn't I make the person sick?
838;Making them vomit can cause more damage to the throat or block their airway. If they have swallowed something corrosive, the liquid will burn the throat on the way back up, causing more pain and distress.
839;What should I do while I wait for the ambulance to arrive?
840;Get them to sit still and reassure them. Do not give them anything to drink.
841;What should I do if they go unconscious?
842;Find out how to help someone who is unconscious and breathing by following the links in the Related First Aid section.
843;What should I do if they stop breathing?
844;I think the person has taken poison or another harmful substance, but they seem fine. What should I do?
845;Call poison control unless they become unconcious, have a change in behavior or have difficulty breathing. Then call ###.
846;Power outage
847;If a power outage is 2 hours or less, you need not be concerned about losing your perishable foods. For prolonged power outages, though, there are steps you can take to minimize food loss and to keep all members of your household as comfortable as possible.
848;Before checklist
849;Have coolers with ice on hand to help preserve your food.
850;Prepare an emergency preparedness kit.
851;If possible, buy a generator with the appropriate power rating for your needs.
852;During - food
853;Keep refrigerator and freezer doors closed as much as possible. Use perishable food from the refrigerator first, then from the freezer.
854;A full freezer will keep the temperature for about 48 hours if the door remains closed
855;Use your nonÂ­perishable foods and staples after using food from the refrigerator and freezer.
856;Keep your cooler with freezer items in a dry cool spot covered at all times.
857;During - electrical equipment
858;Turn off the power and water mains.
859;Turn off and unplug all appliances, equipment or electronics.
860;This protects against a surge when the power comes back on.
861;Using generators safely
862;Never connect a portable generator directly into to a home's electrical system.
863;Connect only the equipment you want to power directly to the generator's outlets.
864;Never use a generator inside any partially or fully enclosed area.
865;Locate unit away from doors, windows and vents that could allow carbon monoxide to come indoors.
866;Carbon monoxide kills
867;Carbon monoxide poisoning is a hazard to avoid when using an alternate power source.
868;Install carbon monoxide alarms on every floor of your home.
869;When power returns
870;Throw away any food that has been exposed to temperatures 40Â° F (4Â° C) for 2 hours or more.
871;When in doubt, throw it out!
872;If food in the freezer is colder than 40Â° F and has ice crystals on it, you can refreeze it.
873;How much running water can it take to knock you over?
874;Select 1...
875;Just six inches of water is enough to knock you over.
876;What items should go into a emergency kit?
877;Choose 4...
878;Only essential items need to go in your emergency kit.
879;First Aid kit
880;Stapler
881;Water
882;Toiletries
883;Brick
884;Remote control
885;Flashlight
886;Fruit bowl
887;How often should you check your smoke alarm?
888;Choose 1...
889;Check your smoke alarm monthly.
890;Daily
891;Once a week
892;Once a month
893;Once a year
894;If you need vaccinations or medication, how long before you travel should you visit your family physician?
895;Drag slider to adjust the time
896;You should visit your family physician at least six weeks before you travel.
897;Weeks
898;When creating a household emergency plan, you should do which of the following?
899;Choose 3...
900;The critical parts of any household emergency plan is to designate each household member with specific responsibilities, have one meeting place outside the house and one outside the immediate neighborhood, have an out-of-town contact and determine an evacuation destination.
901;Assign responsibilities to household members.
902;Establish an out-of-town contact.
903;Pick an evacuation destination.
904;Wax your surfboard.
905;You're prepared for the unexpected. Here's your badge to prove it.
906;Keep trying, you've got a bit more preparation to do before we can give you your badge. Don't give up!
907;Psychological First Aid
908;Psychological first aid (PFA) is a set of actions that can offer immediate support and comfort to people affected by a critical event. People may be visibly distressed, affected by intense emotions, be apathetic or have lost hope. PFA is about providing basic, human support, delivering practical information and showing empathy, concern, respect and confidence in the abilities of the individual.
909;Four Basic elements of PFA
910;Stay close
911;You can help to rebuild an individual's trust and sense of security by staying physically close and by displaying care and empathy. Be prepared if the person appears anxious, displays extreme emotions, shouts or rejects help.
912;Listen Actively
913;Take the time to listen carefully in order to help someone going through a difficult time. Listen actively by asking clarifying questions, without probing.
914;Accept Feelings
915;People in crisis may display very different emotions. Accept the person's interpretation of the events and acknowledge their feelings.
916;Provide general care and practical help
917;Practical assistance, such as offering a glass of water, can be a great help. Avoid taking over more responsibility for the situation than the person actually needs.
918;Everyday emergencies
919;Prepare for emergencies
920;Chemical emergencies
921;Drought
922;Earthquake
923;Emergency kit
924;Everyday emergencies
925;Fire
926;Flooding
927;Flu pandemic
928;Food safety
929;Heatwave
930;Hurricane
931;Landslide
932;Power outage
933;Pet preparedness
934;Psychological First Aid
935;Tornado
936;Tsunami
937;Volcano
938;Water safety
939;Wildfires
940;Winter Weather (Severe)
941;Psychological First Aid
942;Observe and be aware
943;Look for indications that someone is experiencing a difficult situation and may benefit from PFA. Someone's behaviour can also indicate when you should NOT attempt PFA, such as when someone appears angry, violent toward others or intoxicated.
944;Make contact
945;In most circumstances, you will need to make the first move toward connecting and providing PFA to others. Say hello and give your name to get a conversation started. Tell the person where you are from and why you are there.
946;Keep safe
947;Remove the person from any dangers in the situation and from exposure to upsetting sights or sounds, the media or onlookers.
948;Provide quiet and privacy
949;Where appropriate and possible, find a private and quiet space for the person to rest or to talk.
950;Practical comfort
951;Assist with basic needs by offering practical comfort, like a glass of water or blanket.
952;Listen
953;Ask the person if they would like to talk about what happened, and listen carefully to any feelings and concerns they share.  If they do not want to talk, just stay with them.
954;Give realistic reassurance and normalise feelings
955;Reassure the person that their reactions are normal given the situation/distressing event. Respect and support the individual's feelings and reactions.
956;Help prioritize needs
957;Ask the person what they need and help them think through what is urgent and what can wait for later.
958;Connect with loved ones
959;Help the person connect to family or friends who can provide support.
960;Give accurate, timely information
961;Give factual information about what happened (if people ask), where and how to seek additional support. If possible, give the individual a card with a telephone number or address for where to find help.
962;Learn more
963;Psychological First Aid
964;Which of the following are signs that someone may be experiencing distress?
965;Choose one or both
966;"The answer is all of the above. People may react in various ways to a crisis. Some examples of distress responses include: -Physical symptoms such as shaking, sweating, headaches, stomachaches, feeling tired, crying -Sadness, grief, irritability, anger guilt, shame, feeling emotionally numb -Anxiety, fear, confusion, not able to concentrate, disorientation -Appearing withdrawn or very still -Being ""on guard"" and ""jumpy"" -Not responding to others"
967;Correct!
968;Crying and sadness
969;Anxiety
970;There was a fire in the apartment complex next to your house. You notice a woman sitting by herself and struggling to hold back tears. What is the first thing you should you do?
971;Choose 1
972;The right answer is: Observe the situation and be aware. What you see and hear can be the first indication that someone is experiencing a difficult situation and may benefit from PFA. No matter what your relationship is to someone, your supportive actions in times of distress are usually welcomed by others.
973;Good answer!
974;"Tell the woman, ""It could have been a lot worse. You should feel lucky that you survived."""
975;Give the person a blanket and walk away.
976;Observe the situation and determine whether it would be appropriate and safe for you to provide PFA.
977;Leave the woman alone - you don't know her and she will handle the situation on her own.
978;You must be a trained mental health professional in order to provide PFA to distressed people.
979;Choose 1
980;The answer is False. PFA is not professional counselling or a clinical intervention. It is a supportive response for distressed individuals following a critical or traumatic event. Anyone can be trained on how to provide PFA to people.
981;That is right!
982;Psychological First Aid
983;Respect saftey, dignity and rights
984;Take the person's culture into account and adapt your actions to fit his/her cultural customs
985;Know when to ask for help and/or refer the individual to another resource
986;Take care of yourself. Look after yourself by eating a balance diet, taking breaks and resting enough, exercising, and sharing your feelings with people you trust.
987;Psychological First Aid for Children
988;Many children and adolescents can be especially vulnerable in a crisis situation. Young children may be at the greatest risk for harm or exploitation. Keep in mind that children react differently to critical events depending on their age, developmental stage, culture and gender. In general, children cope better when they have a stable, calm adult around them.
989;Road Safety
990;Road safety is important.
991;Always look both ways before crossing the street.
992;Cars sometimes arent looking at pedestrians. Be careful.
993;Follow traffic signals
994;hshshs
995;Learn more about Road Safety
996;Scorpion & spiders
997;Call ### if you suspect that a person has been bitten by a black widow or brown recluse spider, stung by a scorpion or has a severe allergic reaction.
998;These spiders' bites and some scorpions stings can be life-threatening to humans, especially young children and the elderly.
999;Wash the wound thoroughly.
1000;Apply antibiotic ointment and bandage the wound.
1001;Apply an ice or cold pack to the area to reduce pain and swelling.
1002;Encourage the person to seek medical attention if ### is not called.
1003;If you transport the person to a medical facility, keep the bitten area still and elevated.
1004;What do black widow spiders and brown recluse spiders look like?
1005;The black widow is black with a reddish hourglass shape on the underside of its body. The brown recluse spider has a violin-shaped pattern on its front body.
1006;Where do people encounter black widow spiders, brown recluse spiders and scorpions?
1007;These spiders prefer dark, out-of-the-way places, such as wood, rock and brush piles
1008;What are the signals of spider bites and scorpion stings?
1009;General signals of bites and stings may include marks, pain, swelling, nausea, stiff or painful joints, fever, muscle aches, dizziness and elevated heart rate.
1010;How can I distinguish between a spider bite and other conditions with similar signals?
1011;It can be difficult to recognize a spider bite. The only way to be sure a spider has bitten a person is to see it happen. Bites of black widow spiders can cause an immediate sharp pinprick pain, followed by a dull pain. Bites of brown recluse spiders may be painless initially
1012;How can I tell if a scorpion is poisonous or not?
1013;It is very difficult to distinguish between poisonous and nonpoisonous scorpions. Therefore, all scorpion stings should be treated as medical emergencies.
1014;This section will help you to learn basic first aid through easy to read articles and videos
1015;Get ready and know what you need to assist before the emergency happens
1016;Find out what to do in case of an emergency.
1017;Test your knowledge and see if you are prepared!
1018;Find out more about the work of the Red Cross. You can book a first aid course or donate to an appeal.
1019;Seizure / epilepsy
1020;Do not restrain them but put a blanket or clothing next to their head, but not under it, to protect them from injury. Placing under their head may compromise the airway.
1021;Restraining them may cause injury to you or them. Let the seizure run its normal course.
1022;After the seizure, roll the person to their side with their head tilted back.
1023;This will make sure they keep breathing and will allow any fluids to drain from their mouth.
1024;Should I try to keep their tongue forward or put something in their mouth to stop them biting themselves?
1025;No, do not go anywhere near the mouth or put anything in the mouth of a person having a seizure. This may injure both of you. You should simply make the area safe and prevent injury by removing items that may cause the person harm, and wait for the seizure to run its full course.
1026;When should I call an ambulance?
1027;Call ### if they have no clear history of seizures. If they have a seizure history, call ### if the seizure is unusual, if they injure themselves, or if it lasts longer than 5 minutes.
1028;How do I know if they have epilepsy?
1029;You may find some form of identification on the person, e.g. a card, bracelet or necklace, which will give you information about their condition. If you can't find anything and are unsure if they have a history of seizures, call an ambulance.
1030;Shock
1031;Look for the following to determine if somone may be in shock: restlessness or irritability
1032;There may also be a blue tinge to their lips and fingernails. They also may have rapid breathing and pulse.
1033;Leave them lying flat.
1034;You may not be sure of the person's condition.
1035;Control any external bleeding.
1036;Keep the person from getting chilled or overheated.
1037;Do not give them anything to eat or drink.
1038;Just comfort them until the EMS personnel take over.
1039;Send someone to call ### or the local emergency number.
1040;Seizure / epilepsy
1041;Do not restrain them. Use something like a blanket or clothing next to their head to protect it from injury. Do not place under their head. Placing items under their head may compromise the airway.
1042;After the seizure, help the person to rest on their side with their head tilted back.
1043;If necessary, call ### or get someone else to do it.
1044;Call ###
1045;Learn more
1046;Stings / bites
1047;Bites and stings can cause serious injury or illness. Protect yourself and your family by following these precautions for general bites and stings or those from ticks, specifically.
1048;Insect stings & bites
1049;Ticks
1050;Scorpions & spiders
1051;Jellyfish
1052;Venomous snakes
1053;Animals
1054;Story share
1055;Do you have a story to tell where this app has helped you? If so we would love to hear from you, please let us know via the link below.
1056;Story share
1057;Stings / bites
1058;Remove the stinger by scraping it away with a flat surface, such as a credit card.
1059;Otherwise, carefully remove it with tweezers, being sure to grab the base of the stinger to avoid squeezing the venom sac.
1060;Wash wound with soap and water, cover with a dressing, then apply ice or a cold pack.
1061;Call ### or the local emergency number if the person seems to be having an allergic or anaphylaxic reaction.
1062;Call ###
1063;Signs include a rash, itchiness, swelling on their hands, feet or face or a slowing down of their breathing.
1064;Learn more
1065;Strains & Sprains
1066;R.I.C.E. is typically recommended to treat a sprain. What does R.I.C.E. stand for?
1067;Choose the correct answer
1068;R.I.C.E. is a great way to remember how to treat a strain or a sprain: Rest, Immobilize, Cold and Elevate.
1069;Rest, Ice, Cool, Elevate
1070;Run, Ice, Comfortable Support, Elevate
1071;Rest, Immobilize, Cold, Elevate
1072;Rest, Ice, Cry, Elevate
1073;True or False: Strains and sprains are the same.
1074;Choose the correct answer
1075;False, the difference between a strain and sprain is damage to the muscles or tendon. A sprain is damage to the ligaments at a joint.
1076;Which of the following are indicators that someone has a strain?
1077;Select the 3 best answers
1078;Strains and sprains are common injuries where there has been sudden unusual movement to part of the body. The person may ave pain, swelling and/or bruising around a joint or muscle. If the injury is at a joint the person may also have difficulty moving the limb.
1079;Pain
1080;Sunburn
1081;Swelling
1082;Bruising
1083;Dry skin
1084;Itchy eyes
1085;What is the maximum amount of time that ice should stay on a strain or sprain?
1086;Drag to select
1087;It is recommended that the ice, wrapped in a towel or clothing, stays on the injury for no longer than 20 minutes. Never place ice directly on the skin because it's too cold.
1088;minutes
1089;Which of the following items are the best to use as a cold compress to reduce swelling on an ankle injury?
1090;Choose the correct answer
1091;You could wrap a towel or clothing around frozen vegetables a bag of ice or ice cubes to use as a cold compress. You could also use a towel or clothing that's been soaked in cold water and wrung out. Never place ice directly on the skin because it's too cold.
1092;Shellfish
1093;Hot coffee
1094;Warm soda
1095;Ice
1096;Good try, but you've not quite managed to answer all the questions correctly. Try again to get your Strains & Sprains badge!
1097;Strains and sprains
1098;Apply ice to the injury.
1099;If there is no improvement seek medical advice.
1100;Learn more
1101;Strains and sprains
1102;Remember RICE: Rest, Immobilize, Cold, Elevate.
1103;This is for general care for injuries to muscles, bones and joints.
1104;Rest.
1105;Don't move or straighten the injured area.
1106;Immobilize.
1107;Stabilize the injured area in the position it was found.
1108;Cold.
1109;Apply an ice pack to the injury. This will reduce the swelling and pain.
1110;Elevate.
1111;Elevate the injured part only if it does not cause more pain.
1112;How can I tell if someone has a strain or sprain?
1113;Strains and sprains are common injuries where there has been a sudden unusual movement to part of the body. The person may have pain, swelling and or bruising around a joint or muscle. If the injury is at a joint the person may have difficulty in moving a limb.
1114;What is the difference between an ice pack and a cold compress?
1115;An ice pack is ice or frozen vegetables wrapped in something such as a towel. This could also be called a cold compress. The only difference is that a cold compress doesn't have to use ice, it could also use something cold such as a towel soaked in cold water and wrung out. When using ice, be sure not to leave in direct contact with skin.
